linker_molecular_weight,e3_ligand_hydrogen_bond_acceptor_count,kcat,alpha,warhead_xlogp3,hydrogen_bond_acceptor_count,topological_polar_surface_area,linker_topological_polar_surface_area,kdegp,linker_hydrogen_bond_donor_count,linker_hydrogen_bond_acceptor_count,dmax,warhead_molecular_weight,alpha_dmax,e3_ligand_rotatable_bond_count,dc50,warhead_rotatable_bond_count,rotatable_bond_count,linker_xlogp3,alpha_dc50,warhead_hydrogen_bond_acceptor_count,molecular_weight,e3_ligand_xlogp3,e3_ligand_molecular_weight,kdp,e0,xlogp3,warhead_hydrogen_bond_donor_count,kde,warhead_binding_energy,e3_ligand_binding_energy,e3_ligand_hydrogen_bond_donor_count,linker_rotatable_bond_count,e3_ligand_topological_polar_surface_area,hydrogen_bond_donor_count,warhead_topological_polar_surface_area
74.123,7,1,1,2.17,11,146.22,20.23,0.010889207,1,1,0.67,285.343,1,9,320,4,14,0.79,1,4,789.037,2.31,587.718,375.7849,1,5.8,0,8228.9102,6.425060705,5.084657678,4,2,140.73,3,48.3
150.221,8,1,1,4.1,14,208.6,9.23,0.006318381,0,1,0.99,494.429,1,9,26,7,17,3.15,1,3,950.151,1.83,594.738,943.6679,1,5.34,1,712.6867,6.025180814,6.147101352,4,3,164.52,5,49.77
90.122,4,1,1,2.8,12,174.29,29.46,0.010889207,1,2,0.7,443.401,1,1,30,6,12,-0.24,1,7,763.73,-0.5,259.265,26.8792,1,2.78,2,143.7211,7.570582966,6.84247943,2,3,92.5,2,88.61
86.178,7,1,1,-0.46,14,188.7,0,0.010889207,0,0,0.947,454.447,1,9,11.5,9,17,3.47,1,10,1000.284,2.31,587.718,1946.0419,1,7.13,5,7496.539,5.710847813,5.125139193,4,3,140.73,4,210.54
117.192,7,1,1,4.11,11,195.01,35.25,0.010889207,1,2,0.71,446.91,1,9,50,8,19,0.21,1,7,968.662,2.31,587.718,822.1353,1,8.92,1,3066.7341,6.085056696,5.513323876,4,5,140.73,5,68.74
118.176,8,1,1,1.86,18,235.57,18.46,0.053389831,0,2,0.95,836.83,1,9,5.1,14,22,0.66,1,7,1094.325,1.83,594.738,118.2068,1,4.76,6,1594.5296,6.927357568,5.797367425,4,5,164.52,4,228.54
134.222,8,1,1,4.1,13,199.37,0,0.010889207,0,0,0.92,494.429,1,9,25,7,16,3.63,1,3,934.152,1.83,594.738,1098.2531,1,5.63,1,686.9879,5.959297556,6.163050937,4,2,164.52,5,49.77
253.39,4,1,1,2.22,12,213.61,50.94,0.03980471,1,4,0.701,342.614,1,1,100,6,20,3.18,1,6,889.842,0.13,258.233,45.3777,1,5.66,3,26.5447,7.343157506,7.576021679,1,11,83.55,4,102.16
119.164,4,1,1,2.55,14,202.26,44.48,0.010889207,1,3,0.93,377.286,1,5,631,3,17,-1.01,1,5,958.608,1.86,413.518,892.4975,1,5.11,1,4920.2959,6.049392981,5.308008775,3,5,98.74,4,50.16
183.299,4,1,1,6.27,10,155.39,27.3,0.010889207,2,3,0.9,414.896,1,1,155.3,5,9,-0.08,1,4,792.337,-0.5,259.265,148.0761,1,5.25,2,111.6525,6.829515027,6.952131409,2,2,92.5,2,66.73
188.311,4,1,1,2.74,11,214.31,18.46,0.037318255,0,2,0.77,481.307,1,5,550,6,23,2.98,1,7,898.14,1.86,413.518,193.16,1,6.16,4,3755.0921,6.714082844,5.425379405,3,10,98.74,6,153.09
210.277,4,1,1,2.55,15,228.28,70.5,0.021218616,2,4,0.98,377.286,1,5,85,3,18,0.38,1,5,1049.721,1.86,413.518,497.0807,1,6.51,1,1763.421,6.303573113,5.753643982,3,6,98.74,5,50.16
100.205,4,1,1,3.74,14,185.77,0,0.010889207,0,0,0.803,409.943,1,5,151.2,6,20,4.01,1,7,1009.339,1.86,413.518,72.6473,1,9.08,3,2944.0524,7.138780305,5.531054468,3,4,98.74,5,96.01
410.504,5,1,1,3.35,21,282.74,90.91,0.010889207,0,9,0.65,447.457,1,1,45,5,37,-1.15,1,5,1221.348,0,273.248,405.196,1,2.34,3,760.6965,6.39233488,6.118788601,2,25,109.57,3,87.38
177.244,5,1,1,2.71,14,232.27,53.71,0.010889207,1,4,0.671,486.638,1,1,28.5,6,21,-0.79,1,6,853.289,0,273.248,35.1962,1,3.82,3,171.8123,7.453503851,6.764945737,2,9,109.57,5,111.63
132.203,4,1,1,2.59,14,228.87,18.46,0.007118644,0,2,0.994,382.251,1,5,18.8,4,24,1.19,1,4,1092.232,1.86,413.518,920.2132,1,7.57,4,2660.7033,6.036111527,5.575003547,3,6,98.74,5,98.91
281.444,4,1,1,2.22,12,213.61,50.94,0.03980471,1,4,0.78,342.614,1,1,60,6,22,4.26,1,6,917.896,0.13,258.233,24.9659,1,6.75,3,13.7311,7.602653426,7.862293532,1,13,83.55,4,102.16
205.254,4,1,1,3.59,15,236.79,67.79,0.010889207,2,4,0.99,486.944,1,1,26.7,7,22,-1.14,1,8,926.928,0.13,258.233,56.1513,1,2.72,3,110.7572,7.25063992,6.955628171,1,9,83.55,4,91.41
118.176,4,1,1,2.59,14,228.87,18.46,0.007118644,0,2,0.926,382.251,1,5,40.1,4,23,0.66,1,4,1078.205,1.86,413.518,1414.0806,1,7.21,4,2658.9792,5.849525836,5.575285054,3,5,98.74,5,98.91
118.176,8,1,1,4.1,15,217.83,18.46,0.006318381,0,2,0.65,494.429,1,9,300,7,19,0.66,1,3,918.106,1.83,594.738,883.65,1,3.22,1,1420.7056,6.053719707,5.847495895,4,5,164.52,5,49.77
274.364,4,1,1,3.64,10,163.67,41.57,0.010889207,1,3,0.75,423.448,1,1,75,10,8,1.61,1,7,917.967,-0.5,259.265,66.6312,1,6,3,142.2748,7.176322373,6.846871948,2,3,92.5,1,97.4
192.255,4,1,1,2.64,17,229.73,36.92,0.010889207,0,4,0.95,341.411,1,5,1.4,7,24,0,1,3,1060.331,1.86,413.518,973.976,1,5.91,3,4870.2241,6.01145175,5.312451051,3,10,98.74,4,81.67
102.177,7,1,1,6.1,13,190.86,9.23,0.010889207,0,1,0.95,413.561,1,9,0.17,6,22,1.87,1,3,1004.285,2.31,587.718,65.9186,1,9.05,1,3705.4431,7.180991897,5.431159853,4,4,140.73,5,32.7
249.307,4,1,1,2.03,16,224.03,80.01,0.010889207,1,6,0.96,528.589,1,1,0.75,12,21,-1.87,1,11,1028.128,-0.5,259.265,544.3174,1,1.57,2,163.8105,6.2641478,6.785658214,2,14,92.5,3,124.47
144.258,4,1,1,2.74,10,205.08,9.23,0.037318255,0,1,0.74,481.307,1,5,910,6,20,3.5,1,7,854.087,1.86,413.518,164.5833,1,5.85,4,2424.3349,6.783614112,5.615407386,3,7,98.74,6,153.09
144.258,4,1,1,2.74,10,205.08,9.23,0.011017488,0,1,0.59,481.307,1,5,640,6,20,3.5,1,7,854.087,1.86,413.518,191.7177,1,5.85,4,2424.3349,6.717337765,5.615407386,3,7,98.74,6,153.09
